tagged text	entity type	term id
planata	-2	NCBI:693562
planata	-2	NCBI:694377
planata	-2	NCBI:997723
pecten	-2	NCBI:6578
Donax	-2	NCBI:40129
Donax	-2	NCBI:96512
Mesodesma	-2	NCBI:282295
donacilla	-2	NCBI:1411938
Astarte	-2	NCBI:98290
chione	-2	NCBI:128406
chione	-2	NCBI:98292
Venus	-2	NCBI:55714
verrucosa	-2	NCBI:588438
Cardium	-2	NCBI:268263
Cardita	-2	NCBI:52615
squamosa	-2	NCBI:704607
trapezia	-2	NCBI:457866
trapezia	-2	NCBI:84664
tetragona	-2	NCBI:60908
gravel	-27	ENVO:01000018
Fishes	-2	NCBI:117565
Fishes	-2	NCBI:117569
Fishes	-2	NCBI:118072
Fishes	-2	NCBI:7777
Fishes	-2	NCBI:7878
Fishes	-2	NCBI:7898
Fossil	-27	ENVO:00002164
Sandstone	-27	ENVO:00002055
Fossil	-27	ENVO:00002164
Mammalia	-2	NCBI:40674
Fishes	-2	NCBI:117565
Fishes	-2	NCBI:117569
Fishes	-2	NCBI:118072
Fishes	-2	NCBI:7777
Fishes	-2	NCBI:7878
Fishes	-2	NCBI:7898
Fossil	-27	ENVO:00002164
Fossil	-27	ENVO:00002164
Mammalia	-2	NCBI:40674
Terrestrial	-27	ENVO:00000446
Elevations	-27	ENVO:00000176
Heart	-25	BTO:0000562
Terrestrial	-27	ENVO:00000446
Plants	-2	NCBI:3193
Plants	-25	BTO:0001481
Heart	-25	BTO:0000562
Nervous System	-25	BTO:0001484
Rays	-2	NCBI:117893
Arteries	-25	BTO:0000573
GEAN	-2	NCBI:42229
emarginata	-2	NCBI:1056867
emarginata	-2	NCBI:1093978
emarginata	-2	NCBI:1387110
emarginata	-2	NCBI:1706460
emarginata	-2	NCBI:1743195
emarginata	-2	NCBI:183836
emarginata	-2	NCBI:1914875
emarginata	-2	NCBI:28955
emarginata	-2	NCBI:446436
emarginata	-2	NCBI:507821
emarginata	-2	NCBI:521148
emarginata	-2	NCBI:640493
emarginata	-2	NCBI:931510
emarginata	-2	NCBI:93363
emarginata	-2	NCBI:979698
striata	-25	BTO:0001311
Chama	-2	NCBI:120379
tulipa	-2	NCBI:13305
gravel	-27	ENVO:01000018
Mytilus	-2	NCBI:6548
Lamellibranchiata	-2	NCBI:6544
Mollusca	-2	NCBI:6447
shores	-27	ENVO:00000304
fossil	-27	ENVO:00002164
Lamellibranchiata	-2	NCBI:6544
gravel	-27	ENVO:01000018
squamosa	-2	NCBI:704607
crassa	-2	NCBI:688987
Pecten	-2	NCBI:6578
felis	-2	NCBI:9682
polymorphus	-2	NCBI:60540
fenestratus	-2	NCBI:120225
Spondylus	-2	NCBI:102399
Ostrea	-2	NCBI:37858
plicatula	-2	NCBI:102333
cochlea	-25	BTO:0000267
Anomia	-2	NCBI:102290
polymorpha	-2	NCBI:991903
Ground	-27	ENVO:00001998
Mollusca	-2	NCBI:6447
Tunicata	-2	NCBI:7712
Ascidians	-25	BTO:0000090
Pelagic	-27	ENVO:00000208
Salpa maxima	-2	NCBI:942555
Phallusia	-2	NCBI:56696
Ciona	-2	NCBI:7718
Ascidians	-25	BTO:0000090
Mediterranean sea	-27	ENVO:01000047
bays	-27	ENVO:00000032
Smyrna	-2	NCBI:311131
Beroe	-2	NCBI:10199
island	-27	ENVO:00000098
shore	-27	ENVO:00000304
Porpita	-2	NCBI:168782
sandy	-27	ENVO:01000017
shore	-27	ENVO:00000304
Patara	-2	NCBI:1657256
mouth	-25	BTO:0001090
oceanic	-27	ENVO:00000015
oceanic	-27	ENVO:00000207
oceanic	-27	ENVO:01000048
shores	-27	ENVO:00000304
Pelagic	-27	ENVO:00000208
open sea	-27	ENVO:00000016
gean	-2	NCBI:42229
Rhizostoma	-2	NCBI:269553
Smyrna	-2	NCBI:311131
Cephea	-2	NCBI:493922
Oceania	-2	NCBI:1664056
cruciata	-2	NCBI:25104
Geryonia	-2	NCBI:497501
Porpita	-2	NCBI:168782
Lycia	-2	NCBI:104487
Lycia	-2	NCBI:24646
Stephanomia	-2	NCBI:316180
Cestum	-2	NCBI:12996
tetragona	-2	NCBI:60908
Echinodermata	-2	NCBI:7586
Crinoidea	-2	NCBI:35069
Comatula	-2	NCBI:1320698
Amphiura	-2	NCBI:82377
Ophiura texturata	-2	NCBI:72673
Ophiothrix	-2	NCBI:70179
habitats	-27	ENVO:00002036
neglecta	-2	NCBI:1924105
Amphiura	-2	NCBI:82377
Ophiomyxa	-2	NCBI:55628
Ophiopsila aranea	-2	NCBI:1570320
Ophiura	-2	NCBI:48547
abyssicola	-2	NCBI:83393
neglecta	-2	NCBI:1924105
muddy	-27	ENVO:01000001
Euryale	-2	NCBI:4413
Euryale	-2	NCBI:941177
Asterina	-2	NCBI:7593
Asterina	-2	NCBI:859380
Cnidus	-2	NCBI:1477513
shores	-27	ENVO:00000304
Echinus	-2	NCBI:7647
E. monilis	-2	NCBI:744706
Spatangi	-2	NCBI:72724
sandy	-27	ENVO:01000017
shores	-27	ENVO:00000304
Spatangus purpureus	-2	NCBI:72725
Cidaris	-2	NCBI:72718
gean	-2	NCBI:42229
Cucumaria	-2	NCBI:28832
mouth	-25	BTO:0001090
coast	-27	ENVO:00000303
Mud	-27	ENVO:01000001
